phase,horizon_h,population,region,rows,amount_cells,amount_missing,amount_finite_zero,rows_amount_all_missing,coverage_cells,coverage_missing,coverage_below_half,coverage_min,coverage_median,coverage_max
validation,10,evaluation_high_full_schedule,Alto Antas,28,252,0,2,0,168,0,0,0.8370036800309897,0.9825916779650075,0.9982802311317709
validation,10,evaluation_high_full_schedule,Tainhas,28,252,0,2,0,168,0,0,1.0,1.0,1.0
validation,11,original_training,Baixo Antas,4349,39141,157,24071,0,26094,0,149,0.1512373554913295,0.9053468208092484,0.994084176300578
validation,11,original_training,Carreiro,4349,39141,388,19614,0,26094,0,227,0.07683307332293292,0.9695787831513261,0.999561232449298
validation,11,original_training,Prata-Turvo,4349,39141,34,21102,0,26094,0,26,0.13350657427149967,0.998376791637053,1.0
validation,11,original_training,Alto Antas,4349,39141,41,19951,0,26094,0,31,0.0992246513654852,0.9561164374717541,0.9991401155658854
validation,11,original_training,Tainhas,4349,39141,38,24750,0,26094,0,30,0.11402834699453551,1.0,1.0
validation,11,added2023_training,Baixo Antas,483,4347,3650,177,405,2898,0,2435,0.28901734104046245,0.32947976878612717,0.7802113439306358
validation,11,added2023_training,Carreiro,483,4347,3645,193,405,2898,0,2430,0.046801872074883,0.0514820592823713,0.781371879875195
validation,11,added2023_training,Prata-Turvo,483,4347,0,1578,0,2898,0,0,0.7356076759061834,0.7356076759061834,0.8027718550106611
validation,11,added2023_training,Alto Antas,483,4347,2,1283,0,2898,0,2,0.49506101104009304,0.7425915165601394,0.7956402527600233
validation,11,added2023_training,Tainhas,483,4347,1,2150,0,2898,0,1,0.3907103825136612,1.0,1.0
validation,11,combined_training,Baixo Antas,4832,43488,3807,24248,405,28992,0,2584,0.1512373554913295,0.9033899325626203,0.994084176300578
