phase,profile,horizon_h,subset,family,carreiro_availability,classified_rows,unknown_truth,observed_targets,pairs,failures,hits,sum_abs_error_m,mae_m,bias_m,max_abs_m
test,A,7,level_ge_7m,carreiro_missing_exposure,fully_missing,101,18,83,82,1,33,84.85751333221475,1.0348477235635944,-0.18689521599190906,4.9522024061965535
test,A,8,all,profile_A_control,complete,1400,5,1395,1390,5,1205,364.85358977633314,0.26248459696139076,-0.02232771646850504,2.7901413305463363
test,A,8,all,profile_A_control,partial,16,0,16,16,0,11,5.157875801244692,0.32236723757779323,0.29507425436183204,0.7929290744196287
test,A,8,all,profile_A_control,fully_missing,544,18,526,517,9,411,219.70796586892578,0.4249670519708429,-0.041174150630804984,5.604734107449106
test,A,8,all,profile_B_control,complete,1400,5,1395,1390,5,1206,385.4087979350648,0.27727251650004664,-0.05278822447887305,3.043398496036536
test,A,8,all,profile_B_control,partial,16,0,16,16,0,10,6.173949979499544,0.3858718737187215,0.311699392501575,0.8603337565079343
test,A,8,all,profile_B_control,fully_missing,544,18,526,517,9,396,232.76490986392287,0.4502222627928876,-0.04200121504088205,5.57685876723016
test,A,8,all,mixed_profile_candidate,complete,1400,5,1395,1390,5,1196,380.5323559061899,0.273764284824597,-0.042235669757818055,2.7751458592153977
test,A,8,all,mixed_profile_candidate,partial,16,0,16,16,0,9,5.93804915006349,0.3711280718789681,0.32954999484502734,0.786892041356964
test,A,8,all,mixed_profile_candidate,fully_missing,544,18,526,517,9,401,223.7962653935479,0.4328747879952571,-0.03629492206118581,5.45787612304345
test,A,8,all,carreiro_missing_exposure,complete,1400,5,1395,1390,5,1199,386.8023368568423,0.2782750624869369,-0.04216710173063762,2.819853470945456
test,A,8,all,carreiro_missing_exposure,partial,16,0,16,16,0,9,6.364248990550167,0.39776556190938545,0.36250303677822954,0.8482323549891273
